Time,Number of Animals,Average sense radius, Average speed,Average reproduction threshold,Average passed energy
1,10,7000,1000,70000,30000
2,10,7000,1000,70000,30000
3,10,7000,1000,70000,30000
4,10,7000,1000,70000,30000
5,10,7000,1000,70000,30000
6,10,7000,1000,70000,30000
7,10,7000,1000,70000,30000
8,10,7000,1000,70000,30000
9,10,7000,1000,70000,30000
10,10,7000,1000,70000,30000
11,10,7000,1000,70000,30000
12,10,7000,1000,70000,30000
13,10,7000,1000,70000,30000
14,10,7000,1000,70000,30000
15,10,7000,1000,70000,30000
16,10,7000,1000,70000,30000
17,10,7000,1000,70000,30000
18,10,7000,1000,70000,30000
19,10,7000,1000,70000,30000
20,10,7000,1000,70000,30000
21,10,7000,1000,70000,30000
22,10,7000,1000,70000,30000
23,10,7000,1000,70000,30000
24,10,7000,1000,70000,30000
25,10,7000,1000,70000,30000
26,10,7000,1000,70000,30000
27,10,7000,1000,70000,30000
28,10,7000,1000,70000,30000
29,10,7000,1000,70000,30000
30,10,7000,1000,70000,30000
31,10,7000,1000,70000,30000
32,10,7000,1000,70000,30000
33,10,7000,1000,70000,30000
34,10,7000,1000,70000,30000
35,10,7000,1000,70000,30000
36,10,7000,1000,70000,30000
37,10,7000,1000,70000,30000
38,10,7000,1000,70000,30000
39,10,7000,1000,70000,30000
40,10,7000,1000,70000,30000
41,10,7000,1000,70000,30000
42,10,7000,1000,70000,30000
43,10,7000,1000,70000,30000
44,10,7000,1000,70000,30000
45,10,7000,1000,70000,30000
46,10,7000,1000,70000,30000
47,10,7000,1000,70000,30000
48,10,7000,1000,70000,30000
49,10,7000,1000,70000,30000
50,10,7000,1000,70000,30000
51,10,7000,1000,70000,30000
52,10,7000,1000,70000,30000
53,10,7000,1000,70000,30000
54,10,7000,1000,70000,30000
55,10,7000,1000,70000,30000
56,10,7000,1000,70000,30000
57,10,7000,1000,70000,30000
58,10,7000,1000,70000,30000
59,10,7000,1000,70000,30000
60,10,7000,1000,70000,30000
61,10,7000,1000,70000,30000
62,10,7000,1000,70000,30000
63,10,7000,1000,70000,30000
64,10,7000,1000,70000,30000
65,10,7000,1000,70000,30000
66,10,7000,1000,70000,30000
67,10,7000,1000,70000,30000
68,10,7000,1000,70000,30000
69,10,7000,1000,70000,30000
70,10,7000,1000,70000,30000
71,10,7000,1000,70000,30000
72,10,7000,1000,70000,30000
73,10,7000,1000,70000,30000
74,10,7000,1000,70000,30000
75,10,7000,1000,70000,30000
76,10,7000,1000,70000,30000
77,10,7000,1000,70000,30000
78,10,7000,1000,70000,30000
79,10,7000,1000,70000,30000
80,10,7000,1000,70000,30000
81,10,7000,1000,70000,30000
82,10,7000,1000,70000,30000
83,10,7000,1000,70000,30000
84,10,7000,1000,70000,30000
85,10,7000,1000,70000,30000
86,10,7000,1000,70000,30000
87,10,7000,1000,70000,30000
88,10,7000,1000,70000,30000
89,10,7000,1000,70000,30000
90,10,7000,1000,70000,30000
91,10,7000,1000,70000,30000
92,10,7000,1000,70000,30000
93,10,7000,1000,70000,30000
94,10,7000,1000,70000,30000
95,10,7000,1000,70000,30000
96,10,7000,1000,70000,30000
97,10,7000,1000,70000,30000
98,10,7000,1000,70000,30000
99,10,7000,1000,70000,30000
100,10,7000,1000,70000,30000
101,10,7000,1000,70000,30000
102,10,7000,1000,70000,30000
103,10,7000,1000,70000,30000
104,10,7000,1000,70000,30000
105,10,7000,1000,70000,30000
106,10,7000,1000,70000,30000
107,10,7000,1000,70000,30000
108,10,7000,1000,70000,30000
109,10,7000,1000,70000,30000
110,10,7000,1000,70000,30000
111,10,7000,1000,70000,30000
112,10,7000,1000,70000,30000
113,10,7000,1000,70000,30000
114,10,7000,1000,70000,30000
115,10,7000,1000,70000,30000
116,10,7000,1000,70000,30000
117,10,7000,1000,70000,30000
118,10,7000,1000,70000,30000
119,10,7000,1000,70000,30000
120,10,7000,1000,70000,30000
121,10,7000,1000,70000,30000
122,10,7000,1000,70000,30000
123,10,7000,1000,70000,30000
124,10,7000,1000,70000,30000
125,10,7000,1000,70000,30000
126,10,7000,1000,70000,30000
127,10,7000,1000,70000,30000
128,10,7000,1000,70000,30000
129,10,7000,1000,70000,30000
130,10,7000,1000,70000,30000
131,10,7000,1000,70000,30000
132,10,7000,1000,70000,30000
133,10,7000,1000,70000,30000
134,10,7000,1000,70000,30000
135,10,7000,1000,70000,30000
136,10,7000,1000,70000,30000
137,10,7000,1000,70000,30000
138,10,7000,1000,70000,30000
139,10,7000,1000,70000,30000
140,10,7000,1000,70000,30000
141,10,7000,1000,70000,30000
142,10,7000,1000,70000,30000
143,10,7000,1000,70000,30000
144,10,7000,1000,70000,30000
145,10,7000,1000,70000,30000
146,10,7000,1000,70000,30000
147,10,7000,1000,70000,30000
148,10,7000,1000,70000,30000
149,11,7002.585,1065.84,70039.01,29846.73
150,11,7002.585,1065.84,70039.01,29846.73
151,11,7002.585,1065.84,70039.01,29846.73
152,11,7002.585,1065.84,70039.01,29846.73
153,11,7002.585,1065.84,70039.01,29846.73
154,11,7002.585,1065.84,70039.01,29846.73
155,11,7002.585,1065.84,70039.01,29846.73
